Position_X,Position_Y,Position_Z,Time
-1183.4287,-294.0575,242.3579,539758.8741
-1161.0485,-287.0644,236.379,539763.039
-1161.0046,-287.0352,236.5274,539763.8247
-1138.5164,-280.0315,229.7898,539766.4996
-1118.5867,-274.1396,218.0717,539770.3714
-1093.1076,-266.4595,218.9638,539774.3107
-1077.4286,-260.6945,198.2653,539778.3147
-1053.9716,-252.9663,193.6576,539782.2516
-1030.5151,-245.7955,190.6915,539786.178
-1012.5915,-239.9775,174.576,539790.1619
-992.5084,-233.3024,163.0202,539794.1332
-969.7074,-226.0758,159.377,539798.0764
-948.4267,-219.6974,150.2294,539802.0474
-927.7736,-212.9288,140.6488,539805.9834
-906.1026,-206.1918,134.3464,539809.8871
-886.2725,-199.8288,120.4352,539813.958
-865.1874,-193.5823,112.4304,539817.7802
-846.885,-187.5841,95.1631,539821.7627
-824.9356,-181.215,92.2298,539825.7212
-804.9963,-175.6903,79.8528,539829.667
-784.0665,-169.3681,71.1988,539833.6056
-765.1221,-163.2186,56.9061,539837.5231
-743.7484,-157.1477,49.1446,539841.4938
-732.5162,-153.007,30.4276,539845.5089
-717.2559,-148.7375,41.7389,539849.3684
-701.2404,-143.8614,52.0404,539853.4007
-686.5713,-139.5255,62.9402,539857.4522
-671.2503,-135.4164,72.3391,539861.2438
-658.3358,-132.3226,74.4164,539865.1524
-642.0158,-127.5126,92.4182,539869.1419
-628.1505,-122.4837,97.6204,539873.0712
-613.493,-118.3992,107.4303,539877.1772
-598.4352,-114.0834,114.5598,539881.1347
-584.5255,-109.8676,121.6783,539884.9808
-569.9776,-105.731,130.0962,539888.9712
-553.5503,-101.3634,142.5478,539892.9633
-540.8373,-98.3406,141.9139,539896.8122
-525.8842,-94.4071,152.7643,539900.6848
-509.88,-89.2563,166.7533,539904.7426
-495.7654,-85.0537,174.2317,539908.6712
-483.7151,-81.7576,172.2838,539912.5038
-468.1574,-77.3379,182.6312,539916.428
-453.0759,-73.0179,191.8844,539920.3761
-440.4326,-69.2202,195.5385,539924.4996
-425.0653,-66.0966,197.6684,539928.3722
-410.6929,-62.2481,211.5984,539932.3914
-397.0914,-57.6009,215.787,539936.3098
-381.2879,-53.4908,221.363,539940.1846
-367.9977,-49.8769,223.2911,539944.1906
-355.0077,-46.1357,229.287,539948.1698
-340.9039,-42.1238,235.4717,539951.9787
-325.0338,-38.048,244.9547,539955.9542
-311.7947,-35.0305,244.4413,539960.0293
-297.9373,-31.7781,251.5423,539963.8292
-283.8786,-27.5525,256.5351,539967.8214
-270.2884,-24.4619,247.3939,539971.906
-257.9981,-22.9463,219.9716,539975.7394
-240.8751,-11.0503,334.2453,539979.72
-228.2776,-9.4635,309.3982,539983.6728
-214.5108,-7.4666,292.4302,539987.6112
-200.9756,-4.7206,281.6024,539991.7648
-187.522,-2.4107,286.9128,539995.5154
-173.8792,0.8857,282.7832,539999.3947
-160.4855,4.7579,303.6164,540003.5306
-145.4578,9.2326,291.5895,540007.4448
-132.6819,12.7985,294.0679,540011.2948
-117.9034,18.6107,248.414,540015.295
-104.3866,20.4485,292.8801,540019.1996
-92.4117,23.7462,289.8334,540023.2448
-78.1988,26.2884,295.1853,540027.2535
-65.3384,29.5168,304.9194,540030.9167
-51.6189,33.6862,306.5097,540035.156
-38.3757,37.3307,306.6553,540038.9462
-25.2471,40.6733,309.0214,540042.8652
-11.3682,44.469,308.4586,540046.7432
2.46,47.3702,312.9635,540050.6725
15.5219,50.7039,315.1726,540054.6372
29.1708,53.8287,309.9777,540058.7298
41.8872,56.6535,312.9749,540062.6523
54.6971,60.5444,313.7811,540066.5099
68.5792,64.1349,314.3843,540070.4826
80.9929,67.1956,311.4637,540074.4288
94.6921,70.5496,317.1643,540078.5186
106.9013,73.7066,314.7915,540082.2856
120.4593,76.8236,312.3282,540086.1709
134.8033,79.8232,308.5006,540090.1502
146.2513,82.4955,315.3202,540094.5539
159.325,85.8099,312.7961,540098.1688
172.8413,89.56,308.4197,540102.1792
185.3377,92.6947,304.5842,540106.1576
198.373,95.6723,304.8557,540110.0138
211.6916,98.7973,302.4213,540113.8411
224.3679,102.0153,302.1954,540117.795
236.8758,104.5895,302.2536,540121.6977
249.677,107.3888,299.5254,540125.8507
262.2488,110.6272,297.5007,540129.7546
275.7139,113.9287,294.9445,540133.7449
287.7106,117.123,291.292,540143.354
307.5406,119.889,317.2015,540146.9968
325.3006,125.9126,283.4402,540149.4228
338.8335,128.8759,277.2204,540153.2822
351.42,131.9144,273.6654,540157.3772
363.0198,134.2235,274.5373,540161.2898
375.3897,137.5703,270.1416,540165.1309
388.9034,140.9594,262.7598,540169.0872
400.6741,143.4816,260.5673,540173.045
413.0502,146.3759,257.0409,540177
425.1595,149.2797,253.7864,540180.9274
