Position_X,Position_Y,Position_Z,Time
-1146.5673,-382.4054,452.8582,783428.4769
-1133.072,-382.808,392.9125,783437.3109
-1081.7782,-373.0041,416.5487,783442.2068
-1100.4243,-378.6568,373.9953,783445.6242
-1080.2308,-374.3496,375.3489,783448.898
-1062.3868,-371.0865,370.7269,783452.7323
-1045.3629,-368.2862,364.2713,783456.6936
-1028.8258,-365.8903,354.5008,783460.457
-1011.291,-362.3901,351.4172,783464.5674
-993.8387,-359.5963,345.8141,783468.3838
-974.5633,-355.9024,342.5558,783472.2726
-959.8549,-354.1082,331.6993,783476.2916
-944.3071,-351.7956,323.0451,783480.2472
-925.2821,-348.332,319.3413,783484.1131
-908.6259,-345.9028,312.2959,783488.2021
-892.93,-343.6641,302.9479,783492.1366
-876.9449,-341.2002,295.2215,783495.9558
-858.7181,-337.022,295.5966,783499.9394
-842.3644,-335.6869,282.7249,783504.0216
-827.2319,-333.8109,272.2339,783507.7968
-810.2231,-331.1315,266.762,783511.891
-794.3228,-329.456,254.2489,783515.7694
-776.3933,-326.2688,251.7661,783519.7155
-761.7699,-324.3053,241.647,783523.6313
-744.3076,-321.8222,236.9275,783527.5282
-727.216,-319.0072,230.1355,783531.4702
-712.1987,-317.7918,217.529,783535.535
-697.6194,-316.2445,203.2636,783539.4526
-681.5966,-313.5281,199.557,783543.5684
-663.8979,-311.1005,193.5886,783547.409
-648.6704,-309.3857,180.5799,783551.251
-634.6131,-308.8258,165.5362,783555.3814
-616.6711,-304.5875,167.3334,783559.3722
-602.3074,-304.4336,149.7729,783563.1219
-580.2255,-298.9209,179.7998,783567.1898
-568.863,-299.4725,138.3864,783571.288
-554.1686,-298.7296,123.0555,783575.0893
-540.0075,-297.2605,110.9484,783579.0664
-523.8283,-295.7946,98.99,783583.1512
-507.6694,-293.0025,97.5936,783586.8613
-492.1617,-292.5048,81.3272,783590.9006
-476.1637,-290.2629,74.8071,783594.8978
-461.7526,-288.7939,64.1158,783598.7357
-444.9941,-286.9245,58.5857,783602.7334
-432.1615,-286.7777,38.4042,783606.7204
-416.0431,-284.2757,32.3292,783610.5671
-400.3148,-283.6105,21.2511,783614.5538
-388.7621,-283.9084,21.6727,783618.5723
-378.6479,-284.9204,32.0929,783622.4561
-367.66,-285.3263,43.685,783626.4755
-357.9555,-286.676,49.2813,783630.3852
-346.2969,-286.5574,65.7651,783634.3492
-337.008,-287.9587,70.0766,783638.5411
-326.5897,-288.64,80.0991,783642.212
-316.0636,-289.5051,88.122,783646.1287
-306.1248,-290.4122,97.9437,783650.16
-296.2546,-291.9211,101.7181,783654.0264
-285.4918,-291.6267,116.154,783657.9962
-275.4153,-292.7746,123.783,783662.0419
-256.2126,-296.2011,119.1127,783667.6749
-255.6186,-294.607,138.2495,783669.9698
-245.2408,-295.8231,143.6963,783673.9846
-235.3477,-296.5492,155.4664,783677.656
-225.8012,-296.9539,164.1262,783681.6971
-215.8942,-298.0827,169.3458,783685.6564
-205.2774,-298.9107,179.5153,783689.6567
-195.7704,-300.3459,182.0972,783693.5612
-185.9919,-301.3981,189.5648,783697.3893
-175.7617,-302.3956,194.9554,783701.321
-165.7779,-303.3743,202.6293,783705.3684
-156.4243,-304.0305,211.3149,783709.3693
-146.6433,-305.1725,216.555,783713.192
-136.6562,-306.771,219.1833,783717.2415
-127.1117,-307.8481,226.0133,783721.1818
-117.7613,-308.0273,236.2663,783725.1598
-107.7632,-309.1853,239.5297,783729.0431
-97.8208,-311.1004,241.6203,783732.8676
-88.3493,-312.1476,247.4143,783736.8728
-78.8708,-312.6348,255.3139,783741.1562
-68.6613,-313.7976,258.8906,783744.8286
-59.4546,-315.0619,263.5203,783748.7988
-50.4484,-316.0333,270.7816,783752.8962
-40.2828,-317.3532,272.2441,783756.6723
-30.7778,-318.3864,277.6251,783760.602
-20.8448,-319.6664,281.5104,783764.5602
-10.7751,-322.7422,267.8442,783768.6801
-1.2787,-322.3179,287.206,783772.5211
7.1847,-323.0716,293.743,783776.3622
16.2981,-324.4814,297.3145,783780.213
26.4766,-325.9418,298.7607,783784.3322
35.2799,-326.9049,303.3336,783788.291
44.7492,-327.8777,307.1016,783792.1592
54.0744,-329.1286,309.0541,783796.1168
63.4712,-330.599,311.6215,783799.9345
72.8333,-331.2764,316.9,783803.9864
82.4708,-333.493,315.8213,783808.0182
91.3052,-334.5965,318.6629,783811.7504
100.8404,-335.742,321.6227,783815.9648
110.045,-336.9057,324.516,783819.7854
119.8413,-339.2166,321.068,783823.7214
127.8443,-339.1423,330.1111,783827.5767
137.9672,-341.3253,326.7255,783831.5744
147.0112,-342.5105,330.1245,783835.4684
156.2119,-343.8759,331.0197,783839.4582
165.3813,-345.0711,333.4399,783843.5129
174.898,-346.9712,330.8949,783847.2926
184.4317,-348.9119,329.0661,783851.28
192.6637,-349.6073,332.007,783855.2166
201.6812,-350.6657,335.8951,783859.192
210.71,-351.936,335.1232,783863.1373
218.9525,-353.1321,338.2629,783867.0444
229.4721,-355.1548,335.1707,783871.073
237.9778,-356.4655,335.779,783875.0548
247.406,-358.2068,333.8063,783878.9485
256.0605,-359.5586,333.5924,783882.8034
264.9718,-361.0973,332.6438,783886.7985
273.4308,-362.0845,334.0231,783890.7325
283.8155,-364.1751,330.8427,783894.7594
292.228,-364.3458,335.6925,783898.6474
300.0934,-366.3662,331.9911,783902.5614
307.4385,-367.1663,334.2237,783906.4802
316.5558,-368.3858,333.3078,783910.7366
324.9155,-369.9881,331.8602,783914.3902
334.0936,-371.7185,329.3486,783918.3732
343.596,-373.829,324.1237,783922.4292
351.6629,-374.942,324.4675,783926.4604
361.4536,-376.8623,319.9248,783930.2368
368.748,-377.5078,322.7093,783934.2038
379.0415,-379.9541,314.6864,783938.2364
389.078,-382.2473,307.3862,783942.1534
397.1977,-383.4124,307.0441,783946.051
404.8238,-384.4402,307.3678,783950.0233
413.4861,-386.3297,302.4969,783954.0194
422.6658,-387.6809,300.3651,783958.0574
432.152,-390.0092,292.8387,783961.9896
440.2904,-391.2909,291.3339,783965.8345
450.0876,-393.3353,284.1576,783969.62
458.2138,-394.8948,281.7863,783973.7291
465.6276,-396.0005,280.7878,783977.5935
475.1405,-397.9497,274.7139,783981.4754
483.2042,-399.5045,270.8786,783985.4528
492.0464,-401.1476,266.2364,783989.517
500.315,-402.7611,262.5587,783993.3772
509.9372,-405.1066,254.0178,783997.3598
517.8591,-406.1486,251.911,784001.2834
526.228,-407.8361,247.5197,784005.155
533.5501,-409.0785,245.594,784009.1448
542.4437,-410.9671,239.2792,784013.226
551.3949,-412.9904,232.0397,784017.0056
559.4707,-414.3966,226.5349,784021.119
568.9253,-416.6988,218.087,784025.0164
577.2185,-418.2319,213.023,784028.8347
584.5044,-419.5187,210.2066,784032.8844
592.1025,-420.9119,206.5815,784036.7506
602.0183,-423.3918,195.709,784040.7168
608.8575,-424.4726,191.9348,784044.7435
