Position_X,Position_Y,Position_Z,Time
648.2144,-313.9389,155.3074,693584.6054
662.737,-314.3485,161.2844,693588.5104
677.3687,-315.2698,165.571,693592.5506
690.9563,-315.7536,173.383,693596.3946
705.1082,-316.3932,179.2575,693600.3502
718.298,-316.9492,186.2019,693604.3103
730.9165,-316.8929,194.6147,693608.2115
745.5627,-318.3008,197.3744,693612.1612
757.1074,-317.7261,209.1312,693616.1472
773.2849,-319.2303,208.0658,693620.0368
784.2848,-318.6823,220.4822,693624.044
801.7432,-320.5824,218.5579,693628.0051
813.2947,-320.0835,227.9002,693631.8685
826.212,-320.5838,234.4384,693635.9349
840.1415,-321.4563,238.3324,693639.9273
853.2807,-321.7118,243.4309,693643.7552
868.9793,-323.0859,242.9308,693647.7491
881.5244,-323.2471,249.8687,693651.7824
896.6496,-323.8429,251.8872,693655.647
909.4181,-324.3897,256.7337,693659.5446
920.2192,-323.9828,267.1671,693663.4994
938.6659,-326.088,262.8975,693667.4044
969.8307,-328.8308,259.4008,693677.5236
984.5591,-328.5409,262.1601,693679.8136
994.9755,-328.6961,271.7259,693683.3844
1007.0979,-328.7988,277.9839,693687.1499
1018.8151,-328.7683,284.4171,693691.1012
1038.082,-330.9138,278.0317,693695.0966
1057.5089,-333.1384,274.5993,693699.0196
,,,
-1247.4851,-120.6405,318.8926,694185.1298
-1115.4267,-117.7944,343.8611,694202.3628
-1062.2221,-116.1117,331.9273,694208.2782
-1033.0007,-116.0363,332.5176,694212.8061
-1003.8802,-116.1685,332.9088,694216.1154
-975.5208,-115.8384,331.356,694220.0282
-949.4566,-115.8766,324.1174,694224.0636
-920.2419,-116.0605,325.1794,694227.9774
-890.8594,-115.7923,329.3982,694231.8532
-867.9833,-116.4743,312.8325,694235.8198
-841.1436,-118.1344,308.4737,694239.8276
-809.5172,-117.6695,317.8554,694243.7557
-786.711,-118.8812,302.1742,694247.7856
-754.5496,-116.7763,311.7221,694251.7501
-727.7807,-116.547,309.502,694255.6405
-700.6162,-117.3766,306.317,694259.5786
-673.1811,-117.4261,304.5289,694263.5478
-645.7718,-117.6417,303.4834,694267.4002
-617.4845,-117.5962,303.4955,694271.3908
-591.4391,-118.3975,297.0221,694275.4461
-565.9729,-119.7318,287.0573,694279.2748
-539.4452,-120.2967,289.2391,694283.2242
-514.8445,-121.5481,273.7421,694287.1654
-486.6624,-121.5853,280.488,694291.072
-459.2511,-121.0867,277.9468,694295.1364
-433.6255,-121.5288,270.711,694298.9984
-408.7405,-122.6531,258.8523,694302.9152
-382.5341,-122.9767,260.1669,694306.9382
-356.5504,-124.1371,254.2329,694311.0682
-331.1607,-124.5288,248.8737,694314.7552
-305.6233,-125.5032,244.4713,694318.7517
-280.202,-126.2811,235.4303,694322.7472
-254.7828,-128.8435,226.7212,694326.6815
-229.7548,-129.0969,232.4069,694330.7154
-204.4038,-129.6548,223.7586,694334.6192
-179.9565,-130.9648,204.3935,694338.5671
-154.3183,-130.4364,208.8566,694342.6554
-129.534,-131.5979,201.0661,694346.3973
-106.3489,-131.9216,199.8516,694350.4132
-80.979,-134.0227,184.3054,694354.3398
-55.9534,-134.3981,181.3094,694358.2262
-30.8862,-136.2459,166.5971,694362.2015
-7.2877,-136.8465,165.0131,694366.1134
14.9767,-138.7775,160.8709,694370.0676
41.2737,-140.9752,148.3659,694374.0214
64.0623,-141.3787,147.731,694377.9172
87.7296,-142.9286,135.4801,694381.9073
112.2656,-142.9578,129.7604,694385.8173
135.007,-143.5574,126.3358,694389.7785
158.3433,-145.451,113.6908,694393.7266
180.7963,-146.164,111.2384,694397.6776
206.3205,-148.0453,94.7806,694401.5926
227.655,-149.1798,92.9049,694405.7027
250.1876,-150.6411,84.6535,694409.5825
278.6279,-153.7736,59.0732,694413.442
295.7817,-153.7616,71.9012,694417.4263
319.1052,-155.7201,61.2449,694421.3962
340.7152,-156.8813,51.7286,694425.2799
366.6883,-157.9123,36.7601,694429.2281
386.1861,-158.4658,31.5369,694433.3197
407.5374,-160.1945,25.8468,694437.1181
429.2023,-161.2914,17.8955,694441.1976
445.875,-162.495,29.3799,694445.3793
467.0268,-164.5503,25.1286,694449.4876
484.0402,-166.0899,30.995,694453.0502
499.5514,-166.4044,46.2803,694456.9321
516.0917,-167.8642,55.0704,694460.8041
532.8856,-169.2719,64.5256,694464.8186
550.0898,-170.5461,70.7333,694468.7363
568.0698,-172.3087,76.033,694472.7702
581.8341,-172.8068,94.462,694476.707
602.6041,-174.784,89.2007,694480.5834
617.0877,-176.0232,100.1697,694484.54
631.8731,-177.1057,108.793,694488.6584
651.1294,-178.9113,111.8239,694492.4448
668.0776,-180.4079,117.947,694496.4666
692.3211,-182.7953,103.5628,694501.9114
699.5815,-182.6328,134.9614,694504.4049
715.4599,-184.2709,143.8849,694508.4704
734.0263,-185.9814,141.1283,694512.3284
749.8875,-187.4348,148.3396,694516.242
767.8387,-189.0808,149.5706,694520.2308
784.2213,-190.6938,156.2424,694524.2685
800.5569,-192.0005,162.5634,694528.0159
815.3671,-193.0399,170.9673,694532.06
833.4732,-194.8669,171.5533,694535.9645
848.6959,-196.099,178.5791,694539.8816
881.9995,-199.6531,183.3629,694547.9212
